poll_date,house,sample,party,votes,weight,votes_raw
2019-04-08,gad3,2000,PP,21.3,2.1919164527704345,21.3
2019-04-08,gad3,2000,PSOE,30.9,2.1919164527704345,30.9
2019-04-08,gad3,2000,Cs,13.5,2.1919164527704345,13.5
2019-04-08,gad3,2000,UP,12,2.1919164527704345,12
2019-04-08,gad3,2000,VOX,11.2,2.1919164527704345,11.2
2019-04-08,gad3,2000,ERC,2.9,2.1919164527704345,2.9
2019-04-08,gad3,2000,PDC,1.3,2.1919164527704345,1.3
2019-04-08,gad3,2000,PNV,1.3,2.1919164527704345,1.3
2019-04-08,gad3,2000,PAC,1.4,2.1919164527704345,1.4
2019-04-08,gad3,2000,BIL,0.7,2.1919164527704345,0.7
2019-04-08,gad3,2000,CC,0.3,2.1919164527704345,0.3
2019-04-08,gad3,2000,COM,0.3,2.1919164527704345,0.3
2019-04-08,gad3,2000,MAR,0.1,2.1919164527704345,0.1
2019-04-08,gad3,2000,UP_suma,12.4,2.1919164527704345,12.4
2019-04-06,imop,NA,PP,19.4,2,19.4
2019-04-06,imop,NA,PSOE,31,2,31
2019-04-06,imop,NA,Cs,16,2,16
2019-04-06,imop,NA,UP,13.2,2,13.2
2019-04-06,imop,NA,VOX,9.8,2,9.8
2019-04-06,imop,NA,ERC,3.1,2,3.1
2019-04-06,imop,NA,PDC,1.3,2,1.3
2019-04-06,imop,NA,PNV,1.3,2,1.3
2019-04-06,imop,NA,PAC,1.5,2,1.5
2019-04-06,imop,NA,BIL,0.8,2,0.8
2019-04-06,imop,NA,COM,0.8,2,0.8
2019-04-06,imop,NA,UP_suma,14,2,14
2019-04-05,nc report,NA,PP,24,1,24
2019-04-05,imop,1440,PP,20,2.1210809632280374,20
2019-04-05,nc report,NA,PSOE,26.9,1,26.9
2019-04-05,imop,1440,PSOE,31.5,2.1210809632280374,31.5
2019-04-05,nc report,NA,Cs,16.1,1,16.1
2019-04-05,imop,1440,Cs,15.5,2.1210809632280374,15.5
2019-04-05,nc report,NA,UP,12.3,1,12.3
2019-04-05,imop,1440,UP,12.9,2.1210809632280374,12.9
2019-04-05,nc report,NA,VOX,9.4,1,9.4
2019-04-05,imop,1440,VOX,9.3,2.1210809632280374,9.3
2019-04-05,nc report,NA,ERC,2.8,1,2.8
2019-04-05,imop,1440,ERC,3.2,2.1210809632280374,3.2
2019-04-05,nc report,NA,PDC,1.3,1,1.3
2019-04-05,imop,1440,PDC,1.2,2.1210809632280374,1.2
2019-04-05,nc report,NA,PNV,1.3,1,1.3
2019-04-05,imop,1440,PNV,1.3,2.1210809632280374,1.3
2019-04-05,nc report,NA,PAC,0.8,1,0.8
2019-04-05,imop,1440,PAC,0.9,2.1210809632280374,0.9
2019-04-05,nc report,NA,BIL,0.8,1,0.8
2019-04-05,imop,1440,BIL,0.9,2.1210809632280374,0.9
2019-04-05,nc report,NA,CC,0.3,1,0.3
2019-04-05,nc report,NA,COM,1.7,1,1.7
2019-04-05,imop,1440,COM,0.6,2.1210809632280374,0.6
2019-04-05,nc report,NA,MAR,0.7,1,0.7
2019-04-05,nc report,NA,UP_suma,14.7,1,14.7
2019-04-05,imop,1440,UP_suma,13.5,2.1210809632280374,13.5
2019-04-04,simple lógica,1054,PP,16.7,2.05591454025107,16.7
2019-04-04,simple lógica,1054,PSOE,30.5,2.05591454025107,30.5
2019-04-04,simple lógica,1054,Cs,15.5,2.05591454025107,15.5
2019-04-04,simple lógica,1054,UP,14.4,2.05591454025107,14.4
2019-04-04,simple lógica,1054,VOX,9.8,2.05591454025107,9.8
2019-04-04,simple lógica,1054,UP_suma,14.4,2.05591454025107,14.4
2019-04-03,gesop,1500,PP,21,2.1297573360672124,21
2019-04-03,gad3,4000,PP,20.9,2.349237886176038,20.9
2019-04-03,gesop,1500,PSOE,29.8,2.1297573360672124,29.8
2019-04-03,gad3,4000,PSOE,31.1,2.349237886176038,31.1
2019-04-03,gesop,1500,Cs,14.5,2.1297573360672124,14.5
2019-04-03,gad3,4000,Cs,14.9,2.349237886176038,14.9
2019-04-03,gesop,1500,UP,12,2.1297573360672124,12
2019-04-03,gad3,4000,UP,11.5,2.349237886176038,11.5
2019-04-03,gesop,1500,VOX,10.6,2.1297573360672124,10.6
2019-04-03,gad3,4000,VOX,9.8,2.349237886176038,9.8
2019-04-03,gad3,4000,ERC,2.9,2.349237886176038,2.9
2019-04-03,gad3,4000,PDC,1.3,2.349237886176038,1.3
2019-04-03,gad3,4000,PNV,1.3,2.349237886176038,1.3
2019-04-03,gad3,4000,PAC,1.4,2.349237886176038,1.4
2019-04-03,gad3,4000,BIL,0.7,2.349237886176038,0.7
2019-04-03,gad3,4000,CC,0.3,2.349237886176038,0.3
2019-04-03,gad3,4000,COM,0.3,2.349237886176038,0.3
2019-04-03,gad3,4000,MAR,0.1,2.349237886176038,0.1
2019-04-03,gesop,1500,UP_suma,12,2.1297573360672124,12
2019-04-03,gad3,4000,UP_suma,11.9,2.349237886176038,11.9
2019-03-29,celeste-tel,1100,PP,23.6,1.0323578626791556,23.6
2019-03-29,nc report,1000,PP,23.1,1.0225651825635729,23.1
2019-03-29,celeste-tel,1100,PSOE,27.2,1.0323578626791556,27.2
2019-03-29,nc report,1000,PSOE,26.7,1.0225651825635729,26.7
2019-03-29,celeste-tel,1100,Cs,15.7,1.0323578626791556,15.7
2019-03-29,nc report,1000,Cs,16.5,1.0225651825635729,16.5
2019-03-29,celeste-tel,1100,UP,12.2,1.0323578626791556,12.2
